Date,date,team1,team2,venue,home_advantage,h2h_t1_wins,h2h_t2_wins,WTC_cycle,team1_recent_win_pct,team2_recent_win_pct,team1_top5_bat_avg,team2_top5_bat_avg,team1_top5_bowl_avg,team2_top5_bowl_avg,weather,pitch_type,raw_result,Result
01/08/2019,"Aug 1-5, 2019",England,Australia,Birmingham,1,108,146,2019-2021,0.5,0.6,39.5,43.2,32.1,28.4,Cloudy,Pace-friendly,Australia,Team2
14/08/2019,"Aug 14-18, 2019",England,Australia,Lord's,1,108,146,2019-2021,0.5,0.6,39.5,43.2,32.1,28.4,Cloudy,Pace-friendly,drawn,Draw
14/08/2019,"Aug 14-18, 2019",Sri Lanka,New Zealand,Galle,1,9,15,2019-2021,0.3,0.7,34.5,44.6,36.1,27.8,Rain,Spin-friendly,Sri Lanka,Team1
22/08/2019,"Aug 22-25, 2019",West Indies,India,North Sound,1,30,21,2019-2021,0.4,0.8,35.7,45.4,34,26.5,Rain,Pace-friendly,India,Team2
22/08/2019,"Aug 22-25, 2019",England,Australia,Leeds,1,109,146,2019-2021,0.5,0.6,39.5,43.2,32.1,28.4,Cloudy,Pace-friendly,England,Team1
22/08/2019,"Aug 22-26, 2019",Sri Lanka,New Zealand,Colombo (PSS),1,8,16,2019-2021,0.3,0.7,34.5,44.6,36.1,27.8,Cloudy,Spin-friendly,New Zealand,Team2
30/08/2019,"Aug 30-Sep 2, 2019",West Indies,India,Kingston,1,30,22,2019-2021,0.4,0.8,35.7,45.4,34,26.5,Rain,Pace-friendly,India,Team2
04/09/2019,"Sep 4-8, 2019",England,Australia,Manchester,1,109,147,2019-2021,0.5,0.6,39.5,43.2,32.1,28.4,Cloudy,Pace-friendly,Australia,Team2
12/09/2019,"Sep 12-15, 2019",England,Australia,The Oval,1,110,147,2019-2021,0.5,0.6,39.5,43.2,32.1,28.4,Cloudy,Pace-friendly,England,Team1
02/10/2019,"Oct 2-6, 2019",India,South Africa,Visakhapatnam,1,12,15,2019-2021,0.8,0.3,45.4,34.8,26.5,35.5,Sunny,Spin-friendly,India,Team1
10/10/2019,"Oct 10-13, 2019",India,South Africa,Pune,1,13,15,2019-2021,0.8,0.3,45.4,34.8,26.5,35.5,Sunny,Spin-friendly,India,Team1
19/10/2019,"Oct 19-22, 2019",India,South Africa,Ranchi,1,14,15,2019-2021,0.8,0.3,45.4,34.8,26.5,35.5,Sunny,Spin-friendly,India,Team1
14/11/2019,"Nov 14-16, 2019",India,Bangladesh,Indore,1,8,0,2019-2021,0.8,0.2,45.4,33.2,26.5,37.4,Sunny,Balanced,India,Team1
21/11/2019,"Nov 21-24, 2019",Australia,Pakistan,Brisbane,1,32,15,2019-2021,0.6,0.4,43.2,36.2,28.4,34.7,Sunny,Balanced,Australia,Team1
22/11/2019,"Nov 22-24, 2019",India,Bangladesh,Eden Gardens,1,9,0,2019-2021,0.8,0.2,45.4,33.2,26.5,37.4,Sunny,Spin-friendly,India,Team1
29/11/2019,"Nov 29-Dec 2, 2019",Australia,Pakistan,Adelaide,1,33,15,2019-2021,0.6,0.4,43.2,36.2,28.4,34.7,Sunny,Balanced,Australia,Team1
11/12/2019,"Dec 11-15, 2019",Pakistan,Sri Lanka,Rawalpindi,1,19,16,2019-2021,0.4,0.3,36.2,34.5,34.7,36.1,Sunny,Balanced,drawn,Draw
12/12/2019,"Dec 12-15, 2019",Australia,New Zealand,Perth,1,32,8,2019-2021,0.6,0.7,43.2,44.6,28.4,27.8,Sunny,Balanced,Australia,Team1
19/12/2019,"Dec 19-23, 2019",Pakistan,Sri Lanka,Karachi,1,20,16,2019-2021,0.4,0.3,36.2,34.5,34.7,36.1,Sunny,Balanced,Pakistan,Team1
26/12/2019,"Dec 26-29, 2019",South Africa,England,Centurion,1,34,61,2019-2021,0.3,0.5,34.8,39.5,35.5,32.1,Cloudy,Pace-friendly,South Africa,Team1
26/12/2019,"Dec 26-29, 2019",Australia,New Zealand,Melbourne,1,33,8,2019-2021,0.6,0.7,43.2,44.6,28.4,27.8,Sunny,Balanced,Australia,Team1
03/01/2020,"Jan 3-7, 2020",South Africa,England,Cape Town,1,34,62,2019-2021,0.3,0.5,34.8,39.5,35.5,32.1,Sunny,Balanced,England,Team2
03/01/2020,"Jan 3-6, 2020",Australia,New Zealand,Sydney,1,34,8,2019-2021,0.6,0.7,43.2,44.6,28.4,27.8,Sunny,Balanced,Australia,Team1
16/01/2020,"Jan 16-20, 2020",South Africa,England,Gqeberha,1,34,63,2019-2021,0.3,0.5,34.8,39.5,35.5,32.1,Cloudy,Pace-friendly,England,Team2
24/01/2020,"Jan 24-27, 2020",South Africa,England,Johannesburg,1,34,64,2019-2021,0.3,0.5,34.8,39.5,35.5,32.1,Sunny,Balanced,England,Team2
07/02/2020,"Feb 7-10, 2020",Pakistan,Bangladesh,Rawalpindi,1,10,0,2019-2021,0.4,0.2,36.2,33.2,34.7,37.4,Sunny,Balanced,Pakistan,Team1
21/02/2020,"Feb 21-24, 2020",New Zealand,India,Wellington,1,11,21,2019-2021,0.7,0.8,44.6,45.4,27.8,26.5,Cloudy,Pace-friendly,New Zealand,Team1
29/02/2020,"Feb 29-Mar 2, 2020",New Zealand,India,Christchurch,1,12,21,2019-2021,0.7,0.8,44.6,45.4,27.8,26.5,Cloudy,Pace-friendly,New Zealand,Team1
08/07/2020,"Jul 8-12, 2020",England,West Indies,Southampton,1,58,49,2019-2021,0.5,0.4,39.5,35.7,32.1,34,Cloudy,Pace-friendly,West Indies,Team2
16/07/2020,"Jul 16-20, 2020",England,West Indies,Manchester,1,58,50,2019-2021,0.5,0.4,39.5,35.7,32.1,34,Cloudy,Pace-friendly,England,Team1
24/07/2020,"Jul 24-28, 2020",England,West Indies,Manchester,1,58,51,2019-2021,0.5,0.4,39.5,35.7,32.1,34,Cloudy,Pace-friendly,England,Team1
05/08/2020,"Aug 5-8, 2020",England,Pakistan,Manchester,1,62,33,2019-2021,0.5,0.4,39.5,36.2,32.1,34.7,Cloudy,Pace-friendly,England,Team1
13/08/2020,"Aug 13-17, 2020",England,Pakistan,Southampton,1,62,33,2019-2021,0.5,0.4,39.5,36.2,32.1,34.7,Cloudy,Pace-friendly,drawn,Draw
21/08/2020,"Aug 21-25, 2020",England,Pakistan,Southampton,1,62,33,2019-2021,0.5,0.4,39.5,36.2,32.1,34.7,Cloudy,Pace-friendly,drawn,Draw
03/12/2020,"Dec 3-6, 2020",New Zealand,West Indies,Hamilton,1,16,13,2019-2021,0.7,0.4,44.6,35.7,27.8,34,Sunny,Pace-friendly,New Zealand,Team1
11/12/2020,"Dec 11-14, 2020",New Zealand,West Indies,Wellington,1,17,13,2019-2021,0.7,0.4,44.6,35.7,27.8,34,Cloudy,Pace-friendly,New Zealand,Team1
17/12/2020,"Dec 17-19, 2020",Australia,India,Adelaide,1,49,33,2019-2021,0.6,0.8,43.2,45.4,28.4,26.5,Sunny,Balanced,Australia,Team1
26/12/2020,"Dec 26-29, 2020",South Africa,Sri Lanka,Centurion,1,15,9,2019-2021,0.3,0.3,34.8,34.5,35.5,36.1,Cloudy,Pace-friendly,South Africa,Team1
26/12/2020,"Dec 26-29, 2020",Australia,India,Melbourne,1,49,34,2019-2021,0.6,0.8,43.2,45.4,28.4,26.5,Sunny,Balanced,India,Team2
26/12/2020,"Dec 26-30, 2020",New Zealand,Pakistan,Mount Maunganui,1,13,25,2019-2021,0.7,0.4,44.6,36.2,27.8,34.7,Cloudy,Pace-friendly,New Zealand,Team1
03/01/2021,"Jan 3-5, 2021",South Africa,Sri Lanka,Johannesburg,1,16,9,2019-2021,0.3,0.3,34.8,34.5,35.5,36.1,Sunny,Balanced,South Africa,Team1
03/01/2021,"Jan 3-6, 2021",New Zealand,Pakistan,Christchurch,1,14,25,2019-2021,0.7,0.4,44.6,36.2,27.8,34.7,Cloudy,Pace-friendly,New Zealand,Team1
